SBD,Văn ,Toán ,Anh ,Tổng
180224,3.25,2,4,9.25
180095,2.75,3.25,3,9
180261,4.25,1.75,3,9
180203,2.5,2.25,4,8.75
180065,3.5,2.75,2.25,8.5
180106,3.75,1,3.75,8.5
180180,4.25,2.5,1.75,8.5
180026,2,1.5,4.75,8.25
180129,2.75,2,3.25,8
180050,2.5,1.25,3.5,7.25
180178,1.25,4,2,7.25
180119,2.25,1.5,3.25,7
180218,3,1.25,2.75,7
180264,3.75,0.75,2.5,7
180221,3.75,0.25,2.75,6.75
180226,1.75,1.25,3.75,6.75
180078,3,1.25,2.25,6.5
180087,2.5,1.25,2.5,6.25
180214,2,1.5,2.75,6.25
180275,1.5,1.25,3.25,6
180223,1.25,0.75,3.75,5.75
